Id,CINNumber,Pan,CompanyRefNo,DPSU_Fk_Id,CompanyName,POC_Email,Phone,EmailId,Address,CityName,PinCode,Country_Fk_id,District,State,Website,Logo,CompanyScale_Fk_Id,CompanyType_Fk_Id,IndustryDomain_Fk_Id,IndustrySubDomain_Fk_Id,CompanyCoreExpertise_Fk_Id,CompanyRegistrationDate,CompanyStatus,CompanyCategory,CompanySubCategory,CompanyClass,ListingStatus,CompanyROC,CompanyIndustrialClassification,OtherScale,OtherCompanyType,OtherCompanyCoreExpertise,OtherCompIndDomain,OtherCompIndSubDomain,Final_Submit,IsActive,CreatedDate,CreatedBy,IPAddress
19,CIN00019,PAN00019,CMP019,DPSU19,Company_019,contact@company_019.com,1234567890,info@company_019.com,Address 19,City19,1000019,4,District19,State19,https://company_019.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC19,,,,,,1,True,2025-08-03T13:55:36.880000,1,127.0.0.1
20,CIN00020,PAN00020,CMP020,DPSU20,Company_020,contact@company_020.com,1234567890,info@company_020.com,Address 20,City20,1000020,1,District20,State20,https://company_020.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC20,,,,,,1,True,2025-08-03T13:55:36.883000,1,127.0.0.1
21,CIN00021,PAN00021,CMP021,DPSU21,Company_021,contact@company_021.com,1234567890,info@company_021.com,Address 21,City21,1000021,2,District21,State21,https://company_021.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC21,,,,,,1,True,2025-08-03T13:55:36.883000,1,127.0.0.1
22,CIN00022,PAN00022,CMP022,DPSU22,Company_022,contact@company_022.com,1234567890,info@company_022.com,Address 22,City22,1000022,3,District22,State22,https://company_022.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC22,,,,,,1,True,2025-08-03T13:55:36.883000,1,127.0.0.1
23,CIN00023,PAN00023,CMP023,DPSU23,Company_023,contact@company_023.com,1234567890,info@company_023.com,Address 23,City23,1000023,4,District23,State23,https://company_023.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC23,,,,,,1,True,2025-08-03T13:55:36.883000,1,127.0.0.1
24,CIN00024,PAN00024,CMP024,DPSU24,Company_024,contact@company_024.com,1234567890,info@company_024.com,Address 24,City24,1000024,1,District24,State24,https://company_024.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC24,,,,,,1,True,2025-08-03T13:55:36.883000,1,127.0.0.1
25,CIN00025,PAN00025,CMP025,DPSU25,Company_025,contact@company_025.com,1234567890,info@company_025.com,Address 25,City25,1000025,2,District25,State25,https://company_025.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC25,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
26,CIN00026,PAN00026,CMP026,DPSU26,Company_026,contact@company_026.com,1234567890,info@company_026.com,Address 26,City26,1000026,3,District26,State26,https://company_026.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC26,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
27,CIN00027,PAN00027,CMP027,DPSU27,Company_027,contact@company_027.com,1234567890,info@company_027.com,Address 27,City27,1000027,4,District27,State27,https://company_027.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC27,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
28,CIN00028,PAN00028,CMP028,DPSU28,Company_028,contact@company_028.com,1234567890,info@company_028.com,Address 28,City28,1000028,1,District28,State28,https://company_028.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC28,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
29,CIN00029,PAN00029,CMP029,DPSU29,Company_029,contact@company_029.com,1234567890,info@company_029.com,Address 29,City29,1000029,2,District29,State29,https://company_029.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC29,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
30,CIN00030,PAN00030,CMP030,DPSU30,Company_030,contact@company_030.com,1234567890,info@company_030.com,Address 30,City30,1000030,3,District30,State30,https://company_030.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC30,,,,,,1,True,2025-08-03T13:55:36.887000,1,127.0.0.1
31,CIN00031,PAN00031,CMP031,DPSU31,Company_031,contact@company_031.com,1234567890,info@company_031.com,Address 31,City31,1000031,4,District31,State31,https://company_031.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC31,,,,,,1,True,2025-08-03T13:55:36.890000,1,127.0.0.1
32,CIN00032,PAN00032,CMP032,DPSU32,Company_032,contact@company_032.com,1234567890,info@company_032.com,Address 32,City32,1000032,1,District32,State32,https://company_032.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC32,,,,,,1,True,2025-08-03T13:55:36.890000,1,127.0.0.1
33,CIN00033,PAN00033,CMP033,DPSU33,Company_033,contact@company_033.com,1234567890,info@company_033.com,Address 33,City33,1000033,2,District33,State33,https://company_033.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC33,,,,,,1,True,2025-08-03T13:55:36.893000,1,127.0.0.1
34,CIN00034,PAN00034,CMP034,DPSU34,Company_034,contact@company_034.com,1234567890,info@company_034.com,Address 34,City34,1000034,3,District34,State34,https://company_034.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC34,,,,,,1,True,2025-08-03T13:55:36.893000,1,127.0.0.1
35,CIN00035,PAN00035,CMP035,DPSU35,Company_035,contact@company_035.com,1234567890,info@company_035.com,Address 35,City35,1000035,4,District35,State35,https://company_035.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC35,,,,,,1,True,2025-08-03T13:55:36.893000,1,127.0.0.1
36,CIN00036,PAN00036,CMP036,DPSU36,Company_036,contact@company_036.com,1234567890,info@company_036.com,Address 36,City36,1000036,1,District36,State36,https://company_036.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC36,,,,,,1,True,2025-08-03T13:55:36.893000,1,127.0.0.1
37,CIN00037,PAN00037,CMP037,DPSU37,Company_037,contact@company_037.com,1234567890,info@company_037.com,Address 37,City37,1000037,2,District37,State37,https://company_037.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC37,,,,,,1,True,2025-08-03T13:55:36.893000,1,127.0.0.1
38,CIN00038,PAN00038,CMP038,DPSU38,Company_038,contact@company_038.com,1234567890,info@company_038.com,Address 38,City38,1000038,3,District38,State38,https://company_038.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC38,,,,,,1,True,2025-08-03T13:55:36.897000,1,127.0.0.1
39,CIN00039,PAN00039,CMP039,DPSU39,Company_039,contact@company_039.com,1234567890,info@company_039.com,Address 39,City39,1000039,4,District39,State39,https://company_039.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC39,,,,,,1,True,2025-08-03T13:55:36.897000,1,127.0.0.1
40,CIN00040,PAN00040,CMP040,DPSU40,Company_040,contact@company_040.com,1234567890,info@company_040.com,Address 40,City40,1000040,1,District40,State40,https://company_040.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC40,,,,,,1,True,2025-08-03T13:55:36.897000,1,127.0.0.1
41,CIN00041,PAN00041,CMP041,DPSU41,Company_041,contact@company_041.com,1234567890,info@company_041.com,Address 41,City41,1000041,2,District41,State41,https://company_041.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC41,,,,,,1,True,2025-08-03T13:55:36.897000,1,127.0.0.1
42,CIN00042,PAN00042,CMP042,DPSU42,Company_042,contact@company_042.com,1234567890,info@company_042.com,Address 42,City42,1000042,3,District42,State42,https://company_042.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC42,,,,,,1,True,2025-08-03T13:55:36.897000,1,127.0.0.1
43,CIN00043,PAN00043,CMP043,DPSU43,Company_043,contact@company_043.com,1234567890,info@company_043.com,Address 43,City43,1000043,4,District43,State43,https://company_043.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC43,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
44,CIN00044,PAN00044,CMP044,DPSU44,Company_044,contact@company_044.com,1234567890,info@company_044.com,Address 44,City44,1000044,1,District44,State44,https://company_044.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC44,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
45,CIN00045,PAN00045,CMP045,DPSU45,Company_045,contact@company_045.com,1234567890,info@company_045.com,Address 45,City45,1000045,2,District45,State45,https://company_045.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC45,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
46,CIN00046,PAN00046,CMP046,DPSU46,Company_046,contact@company_046.com,1234567890,info@company_046.com,Address 46,City46,1000046,3,District46,State46,https://company_046.com,,2,2,2,2,2,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC46,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
47,CIN00047,PAN00047,CMP047,DPSU47,Company_047,contact@company_047.com,1234567890,info@company_047.com,Address 47,City47,1000047,4,District47,State47,https://company_047.com,,3,3,3,3,3,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC47,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
48,CIN00048,PAN00048,CMP048,DPSU48,Company_048,contact@company_048.com,1234567890,info@company_048.com,Address 48,City48,1000048,1,District48,State48,https://company_048.com,,4,4,4,4,4,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC48,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
49,CIN00049,PAN00049,CMP049,DPSU49,Company_049,contact@company_049.com,1234567890,info@company_049.com,Address 49,City49,1000049,2,District49,State49,https://company_049.com,,5,5,5,5,5,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC49,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
50,CIN00050,PAN00050,CMP050,DPSU50,Company_050,contact@company_050.com,1234567890,info@company_050.com,Address 50,City50,1000050,3,District50,State50,https://company_050.com,,1,1,1,1,1,2023-01-01,Active,CategoryA,SubCatA,ClassA,Listed,ROC,IC50,,,,,,1,True,2025-08-03T13:55:36.900000,1,127.0.0.1
51,CIN123,PAN123,CMP001,DPSU1,ElectroTech Pvt Ltd,contact@electrotech.com,1234567890,support@electrotech.com,123 Industrial Zone,Bangalore,560001,1,Bangalore Urban,Karnataka,https://electrotech.com,,4,1,1,1,1,2021-04-01,Active,Private,SubCat1,ClassA,Listed,ROC-Bangalore,2710,,,,,,1,True,2025-08-03T13:55:43.460000,1,127.0.0.1
